Disease,Symptoms,Description,Treatment,Risk_Factors

Drug Reaction,"rash, swelling, shortness of breath, fever","Adverse response to medication due to allergy or intolerance.","Discontinue drug, antihistamines, corticosteroids, epinephrine in severe cases.","History of allergies, polypharmacy, genetic sensitivity"

Malaria,"fever, chills, headache, sweating, fatigue","Parasitic infection transmitted by Anopheles mosquitoes.","Antimalarials (e.g., artemisinin), supportive care, antipyretics.","Travel to endemic area, lacking prophylaxis, mosquito exposure"

Allergy,"sneezing, itchy eyes, runny nose, hives, swelling","Hypersensitive immune reaction to allergens.","Antihistamines, nasal corticosteroids, allergen avoidance.","Family history, exposure to pollen/pets, asthma"

Hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin, constipation","Underactive thyroid gland producing insufficient hormones.","Levothyroxine replacement therapy.","Autoimmune disease, iodine deficiency, radiation therapy"
Psoriasis,"red scaly plaques, itching, nail pitting, joint pain","Chronic autoimmune skin disorder with rapid cell turnover.","Topical steroids, phototherapy, systemic biologics.","Family history, stress, infections, medications"

GERD,"heartburn, acid regurgitation, chest pain, hoarseness, cough","Stomach acid flows back into esophagus causing irritation.","Proton pump inhibitors, lifestyle modifications.","Obesity, hiatal hernia, smoking, lying down after eating"

Chronic cholestasis,"jaundice, itching, dark urine, pale stools, fatigue","Impaired bile flow leading to liver damage.","Ursodeoxycholic acid, bile acid binders, vitamin supplements.","Female gender, pregnancy, gallstones, liver disease"

Hepatitis A,"fever, fatigue, jaundice, abdominal pain, nausea","Viral liver infection spread via fecal-oral route.","Supportive care, hydration, rest; vaccine prevention.","Travel to endemic area, poor sanitation, crowded living"

Osteoarthritis,"joint pain, stiffness, reduced motion, swelling, crepitus","Degenerative cartilage joint disease.","NSAIDs, physical therapy, weight loss, joint replacement.","Age, obesity, joint injury, repetitive stress"

(vertigo) Paroxysmal Positional Vertigo,"brief spinning sensations, nausea, imbalance, triggered by head movements","Inner ear crystals dislodged causing dizziness.","Epley maneuver, vestibular rehab, antiemetics.","Age, head trauma, prior vestibular disease"

Hypoglycemia,"sweating, trembling, hunger, headache, confusion","Low blood glucose often due to insulin or missed meals.","Consume fast-acting carbs, adjust medications.","Diabetes treatment, skipped meals, excessive exercise"

Acne,"pimples, blackheads, oily skin, nodules, scarring","Inflammatory skin condition affecting follicles.","Topical retinoids, benzoyl peroxide, antibiotics, isotretinoin.","Hormonal changes, genetics, oily skin, diet"

Diabetes,"increased thirst, frequent urination, fatigue, blurred vision, slow wounds","Chronic high blood sugar due to insulin issues.","Insulin/oral hypoglycemics, diet, exercise.","Family history, obesity, sedentary lifestyle, age"

Impetigo,"honey-colored crusts, red sores, itching, oozing, swollen lymph nodes","Contagious bacterial skin infection.","Topical/systemic antibiotics, hygiene measures.","Close contact, young age, poor hygiene"

